country,code,year,life_expectancy
France,FRA,1816,40.049999
France,FRA,1817,39.18
France,FRA,1818,38.549999
France,FRA,1819,37.279999
France,FRA,1820,39.23
France,FRA,1821,39.84
France,FRA,1822,38.310001
France,FRA,1823,39.990002
France,FRA,1824,39.16
France,FRA,1825,38.529999
France,FRA,1826,37.759998
France,FRA,1827,39.360001
France,FRA,1828,37.560001
France,FRA,1829,39.400002
France,FRA,1830,39.59
France,FRA,1831,39.689999
France,FRA,1832,35.830002
France,FRA,1833,38.84
France,FRA,1834,35.040001
France,FRA,1835,39.48
France,FRA,1836,41.959999
France,FRA,1837,39.380001
France,FRA,1838,39.330002
France,FRA,1839,40.919998
France,FRA,1840,40.380001
France,FRA,1841,40.68
France,FRA,1842,39.990002
France,FRA,1843,40.759998
France,FRA,1844,42.299999
France,FRA,1845,43.580002
France,FRA,1846,40.66
France,FRA,1847,40.419998
France,FRA,1848,40.290001
France,FRA,1849,35.919998
France,FRA,1850,43.279999
France,FRA,1851,41.77
France,FRA,1852,41.310001
France,FRA,1853,42.52
France,FRA,1854,36.130001
France,FRA,1855,37.529999
France,FRA,1856,40.150002
France,FRA,1857,39.560001
France,FRA,1858,39.669998
France,FRA,1859,35.27
France,FRA,1860,43.32
France,FRA,1861,40.419998
France,FRA,1862,42.669998
France,FRA,1863,41.720001
France,FRA,1864,41.970001
France,FRA,1865,40.119999
France,FRA,1866,41.810001
France,FRA,1867,42.32
France,FRA,1868,40.209999
France,FRA,1869,41.130001
France,FRA,1870,36.389999
France,FRA,1871,29.58
France,FRA,1872,42.630001
France,FRA,1873,41.759998
France,FRA,1874,44.299999
France,FRA,1875,43.119999
France,FRA,1876,43.509998
France,FRA,1877,44.290001
France,FRA,1878,43.310001
France,FRA,1879,43.950001
France,FRA,1880,42.689999
France,FRA,1881,43.490002
France,FRA,1882,43.080002
France,FRA,1883,43.209999
France,FRA,1884,42.43
France,FRA,1885,43.900002
France,FRA,1886,43.099998
France,FRA,1887,43.689999
France,FRA,1888,44.07
France,FRA,1889,45.490002
France,FRA,1890,43.32
France,FRA,1891,44.07
France,FRA,1892,43.509998
France,FRA,1893,43.509998
France,FRA,1894,45.450001
France,FRA,1895,45.130001
France,FRA,1896,47.490002
France,FRA,1897,47.860001
France,FRA,1898,45.919998
France,FRA,1899,45.150002
France,FRA,1900,45.009998
France,FRA,1901,46.93
France,FRA,1902,47.959999
France,FRA,1903,48.369999
France,FRA,1904,48.029999
France,FRA,1905,48.299999
France,FRA,1906,47.68
France,FRA,1907,48.240002
France,FRA,1908,49.27
France,FRA,1909,49.959999
France,FRA,1910,51.330002
France,FRA,1911,48.130001
France,FRA,1912,51.57
France,FRA,1913,51.310001
France,FRA,1914,38.200001
France,FRA,1915,36.25
France,FRA,1916,40.220001
France,FRA,1917,43.080002
France,FRA,1918,34.84
France,FRA,1919,47.599998
France,FRA,1920,51.529999
France,FRA,1921,52.619999
France,FRA,1922,54.849998
France,FRA,1923,54.59
France,FRA,1924,55.209999
France,FRA,1925,54.330002
France,FRA,1926,53.970001
France,FRA,1927,55.740002
France,FRA,1928,55.380001
France,FRA,1929,54.23
France,FRA,1930,56.830002
France,FRA,1931,56.889999
France,FRA,1932,57.220001
France,FRA,1933,57.66
France,FRA,1934,58.32
France,FRA,1935,58.290001
France,FRA,1936,58.779999
France,FRA,1937,59.139999
France,FRA,1938,58.950001
France,FRA,1939,59.59
France,FRA,1940,49.549999
France,FRA,1941,57.66
France,FRA,1942,57.41
France,FRA,1943,53.330002
France,FRA,1944,47.200001
France,FRA,1945,54.939999
France,FRA,1946,62.349998
France,FRA,1947,63.939999
France,FRA,1948,65.800003
France,FRA,1949,64.889999
France,FRA,1950,66.052002
France,FRA,1951,66.315002
France,FRA,1952,66.831001
France,FRA,1953,67.322998
France,FRA,1954,67.791
France,FRA,1955,68.234001
France,FRA,1956,68.653
France,FRA,1957,69.045998
France,FRA,1958,69.412003
France,FRA,1959,69.747002
France,FRA,1960,70.047997
France,FRA,1961,70.311996
France,FRA,1962,70.538002
France,FRA,1963,70.730003
France,FRA,1964,70.892998
France,FRA,1965,71.036003
France,FRA,1966,71.169998
France,FRA,1967,71.305
France,FRA,1968,71.449997
France,FRA,1969,71.611
France,FRA,1970,71.792
France,FRA,1971,71.994003
France,FRA,1972,72.209999
France,FRA,1973,72.434998
France,FRA,1974,72.666
France,FRA,1975,72.900002
France,FRA,1976,73.134003
France,FRA,1977,73.365997
France,FRA,1978,73.596001
France,FRA,1979,73.822998
France,FRA,1980,74.049004
France,FRA,1981,74.278999
France,FRA,1982,74.514
France,FRA,1983,74.758003
France,FRA,1984,75.010002
France,FRA,1985,75.268997
France,FRA,1986,75.533997
France,FRA,1987,75.801003
France,FRA,1988,76.066002
France,FRA,1989,76.328003
France,FRA,1990,76.584
France,FRA,1991,76.831001
France,FRA,1992,77.07
France,FRA,1993,77.302002
France,FRA,1994,77.527
France,FRA,1995,77.747002
France,FRA,1996,77.961998
France,FRA,1997,78.175003
France,FRA,1998,78.389999
France,FRA,1999,78.609001
France,FRA,2000,78.834999
France,FRA,2001,79.072998
France,FRA,2002,79.323997
France,FRA,2003,79.585999
France,FRA,2004,79.856003
France,FRA,2005,80.129997
France,FRA,2006,80.403
France,FRA,2007,80.667999
France,FRA,2008,80.921997
France,FRA,2009,81.162003
France,FRA,2010,81.387001
France,FRA,2011,81.598
France,FRA,2012,81.800003
France,FRA,2013,81.996002
France,FRA,2014,82.184998
France,FRA,2015,82.369003
